width,height,is_grayscale,color_coverage
./out/crawler/rose/retrived_108.jpg,150,63,False,94
./out/crawler/rose/retrived_134.jpg,112,150,False,0
./out/crawler/rose/retrived_120.jpg,125,125,False,5
./out/crawler/rose/retrived_76.jpg,143,143,False,4
./out/crawler/rose/retrived_62.jpg,100,150,False,0
./out/crawler/rose/retrived_89.jpg,150,150,False,49
./out/crawler/rose/retrived_88.jpg,119,119,False,58
./out/crawler/rose/retrived_63.jpg,135,135,False,64
./out/crawler/rose/retrived_77.jpg,130,130,False,91
./out/crawler/rose/retrived_121.jpg,150,120,False,1
./out/crawler/rose/retrived_135.jpg,116,150,False,69
./out/crawler/rose/retrived_109.jpg,150,150,False,7
./out/crawler/rose/retrived_123.jpg,130,130,False,50
./out/crawler/rose/retrived_137.jpg,138,104,False,4
./out/crawler/rose/retrived_49.jpg,137,137,False,3
./out/crawler/rose/retrived_61.jpg,93,130,False,22
./out/crawler/rose/retrived_75.jpg,149,149,False,81
./out/crawler/rose/retrived_74.jpg,150,150,False,41
./out/crawler/rose/retrived_60.jpg,124,124,False,0
./out/crawler/rose/retrived_48.jpg,150,147,False,42
./out/crawler/rose/retrived_136.jpg,150,142,False,1
./out/crawler/rose/retrived_122.jpg,106,124,False,51
./out/crawler/rose/retrived_126.jpg,150,150,False,57
./out/crawler/rose/retrived_132.jpg,113,150,False,2
./out/crawler/rose/retrived_64.jpg,95,140,False,40
./out/crawler/rose/retrived_70.jpg,133,123,False,10
./out/crawler/rose/retrived_58.jpg,130,150,False,59
./out/crawler/rose/retrived_59.jpg,150,94,False,0
./out/crawler/rose/retrived_71.jpg,150,150,False,52
./out/crawler/rose/retrived_65.jpg,140,140,False,76
./out/crawler/rose/retrived_133.jpg,150,100,False,8
./out/crawler/rose/retrived_127.jpg,137,137,False,1
./out/crawler/rose/retrived_131.jpg,150,112,False,0
./out/crawler/rose/retrived_125.jpg,149,149,False,54
./out/crawler/rose/retrived_119.jpg,125,123,False,72
./out/crawler/rose/retrived_73.jpg,134,66,False,7
./out/crawler/rose/retrived_67.jpg,150,100,False,82
./out/crawler/rose/retrived_98.jpg,148,99,False,0
./out/crawler/rose/retrived_99.jpg,140,140,False,14
./out/crawler/rose/retrived_66.jpg,150,150,False,4
./out/crawler/rose/retrived_72.jpg,135,135,False,0
./out/crawler/rose/retrived_118.jpg,140,140,False,9
./out/crawler/rose/retrived_124.jpg,127,127,False,52
./out/crawler/rose/retrived_130.jpg,150,99,False,0
./out/crawler/rose/retrived_0.jpg,150,150,False,95
./out/crawler/rose/retrived_194.jpg,149,149,False,0
./out/crawler/rose/retrived_180.jpg,123,123,False,80
./out/crawler/rose/retrived_157.jpg,120,120,False,60
./out/crawler/rose/retrived_143.jpg,113,150,False,0
./out/crawler/rose/retrived_29.jpg,150,150,False,92
./out/crawler/rose/retrived_15.jpg,150,100,False,0
./out/crawler/rose/retrived_14.jpg,95,140,False,0
./out/crawler/rose/retrived_28.jpg,148,148,False,60
./out/crawler/rose/retrived_142.jpg,137,150,False,0
./out/crawler/rose/retrived_156.jpg,135,135,False,61
./out/crawler/rose/retrived_181.jpg,130,130,False,77
./out/crawler/rose/retrived_195.jpg,150,150,False,0
./out/crawler/rose/retrived_1.jpg,150,113,False,0
./out/crawler/rose/retrived_3.jpg,101,145,False,50
./out/crawler/rose/retrived_183.jpg,100,150,False,0
./out/crawler/rose/retrived_197.jpg,124,124,False,1
./out/crawler/rose/retrived_168.jpg,90,136,False,90
./out/crawler/rose/retrived_140.jpg,150,142,False,1
./out/crawler/rose/retrived_154.jpg,135,128,False,76
./out/crawler/rose/retrived_16.jpg,100,150,False,0
./out/crawler/rose/retrived_17.jpg,128,128,False,3
./out/crawler/rose/retrived_155.jpg,150,143,False,82
./out/crawler/rose/retrived_141.jpg,138,104,False,4
./out/crawler/rose/retrived_169.jpg,149,99,False,2
./out/crawler/rose/retrived_196.jpg,143,81,False,0
./out/crawler/rose/retrived_182.jpg,79,150,False,42
./out/crawler/rose/retrived_2.jpg,85,130,False,79
./out/crawler/rose/retrived_6.jpg,135,135,False,8
./out/crawler/rose/retrived_186.jpg,150,150,False,70
./out/crawler/rose/retrived_192.jpg,150,150,False,46
./out/crawler/rose/retrived_145.jpg,107,145,False,75
./out/crawler/rose/retrived_151.jpg,128,128,False,32
./out/crawler/rose/retrived_179.jpg,105,140,False,37
./out/crawler/rose/retrived_13.jpg,150,112,False,0
./out/crawler/rose/retrived_12.jpg,149,149,False,66
./out/crawler/rose/retrived_178.jpg,106,150,False,67
./out/crawler/rose/retrived_150.jpg,139,150,False,64
./out/crawler/rose/retrived_144.jpg,105,136,False,40
./out/crawler/rose/retrived_193.jpg,148,123,False,0
./out/crawler/rose/retrived_187.jpg,144,141,False,25
./out/crawler/rose/retrived_7.jpg,83,147,False,58
./out/crawler/rose/retrived_5.jpg,135,135,False,51
./out/crawler/rose/retrived_191.jpg,150,150,False,5
./out/crawler/rose/retrived_185.jpg,140,140,False,79
./out/crawler/rose/retrived_152.jpg,116,116,False,2
./out/crawler/rose/retrived_146.jpg,132,150,False,73
./out/crawler/rose/retrived_10.jpg,84,150,False,0
./out/crawler/rose/retrived_38.jpg,122,148,False,71
./out/crawler/rose/retrived_39.jpg,83,121,False,5
./out/crawler/rose/retrived_11.jpg,130,130,False,78
./out/crawler/rose/retrived_147.jpg,133,150,False,80
./out/crawler/rose/retrived_153.jpg,131,71,False,6
./out/crawler/rose/retrived_184.jpg,133,119,False,43
./out/crawler/rose/retrived_190.jpg,150,84,False,0
./out/crawler/rose/retrived_4.jpg,140,140,False,14
./out/crawler/rose/retrived_9.jpg,150,84,False,0
./out/crawler/rose/retrived_189.jpg,135,135,False,66
./out/crawler/rose/retrived_176.jpg,135,95,False,56
./out/crawler/rose/retrived_162.jpg,136,90,False,0
./out/crawler/rose/retrived_34.jpg,143,143,False,81
./out/crawler/rose/retrived_20.jpg,135,135,False,0
./out/crawler/rose/retrived_21.jpg,114,150,False,76
./out/crawler/rose/retrived_35.jpg,130,130,False,90
./out/crawler/rose/retrived_163.jpg,150,150,False,91
./out/crawler/rose/retrived_177.jpg,120,120,False,0
./out/crawler/rose/retrived_188.jpg,138,138,False,63
./out/crawler/rose/retrived_8.jpg,148,99,False,0
./out/crawler/rose/retrived_149.jpg,126,134,False,0
./out/crawler/rose/retrived_161.jpg,104,139,False,94
./out/crawler/rose/retrived_175.jpg,150,134,False,2
./out/crawler/rose/retrived_23.jpg,150,128,False,3
./out/crawler/rose/retrived_37.jpg,150,150,False,92
./out/crawler/rose/retrived_36.jpg,130,130,False,1
./out/crawler/rose/retrived_22.jpg,150,108,False,0
./out/crawler/rose/retrived_174.jpg,143,143,False,69
./out/crawler/rose/retrived_160.jpg,150,99,False,0
./out/crawler/rose/retrived_148.jpg,150,100,False,0
./out/crawler/rose/retrived_164.jpg,120,150,False,1
./out/crawler/rose/retrived_170.jpg,135,135,False,37
./out/crawler/rose/retrived_158.jpg,112,150,False,0
./out/crawler/rose/retrived_26.jpg,146,146,False,0
./out/crawler/rose/retrived_32.jpg,139,140,False,0
./out/crawler/rose/retrived_33.jpg,107,143,False,2
./out/crawler/rose/retrived_27.jpg,130,130,False,0
./out/crawler/rose/retrived_159.jpg,135,135,False,89
./out/crawler/rose/retrived_171.jpg,150,98,False,0
./out/crawler/rose/retrived_165.jpg,133,133,False,33
./out/crawler/rose/retrived_198.jpg,131,121,False,0
./out/crawler/rose/retrived_173.jpg,120,80,False,13
./out/crawler/rose/retrived_167.jpg,137,137,False,78
./out/crawler/rose/retrived_31.jpg,149,99,False,0
./out/crawler/rose/retrived_25.jpg,146,146,False,0
./out/crawler/rose/retrived_19.jpg,135,135,False,0
./out/crawler/rose/retrived_18.jpg,100,150,False,0
./out/crawler/rose/retrived_24.jpg,143,143,False,0
./out/crawler/rose/retrived_30.jpg,97,146,False,0
./out/crawler/rose/retrived_166.jpg,87,150,False,66
./out/crawler/rose/retrived_172.jpg,142,80,False,0
./out/crawler/rose/retrived_199.jpg,135,135,False,8
./out/crawler/rose/retrived_129.jpg,150,150,False,67
./out/crawler/rose/retrived_115.jpg,106,124,False,51
./out/crawler/rose/retrived_101.jpg,135,135,False,54
./out/crawler/rose/retrived_57.jpg,140,140,False,0
./out/crawler/rose/retrived_43.jpg,130,98,False,0
./out/crawler/rose/retrived_94.jpg,138,106,False,9
./out/crawler/rose/retrived_80.jpg,87,150,False,91
./out/crawler/rose/retrived_81.jpg,129,97,False,1
./out/crawler/rose/retrived_95.jpg,140,140,False,10
./out/crawler/rose/retrived_42.jpg,105,127,False,46
./out/crawler/rose/retrived_56.jpg,146,146,False,0
./out/crawler/rose/retrived_100.jpg,140,140,False,10
./out/crawler/rose/retrived_114.jpg,149,149,False,46
./out/crawler/rose/retrived_128.jpg,146,146,False,0
./out/crawler/rose/retrived_102.jpg,140,140,False,14
./out/crawler/rose/retrived_116.jpg,125,125,False,85
./out/crawler/rose/retrived_68.jpg,150,130,False,0
./out/crawler/rose/retrived_40.jpg,83,135,False,26
./out/crawler/rose/retrived_54.jpg,150,110,False,0
./out/crawler/rose/retrived_83.jpg,66,138,False,75
./out/crawler/rose/retrived_97.jpg,135,135,False,54
./out/crawler/rose/retrived_96.jpg,113,150,False,0
./out/crawler/rose/retrived_82.jpg,143,143,False,11
./out/crawler/rose/retrived_55.jpg,150,150,False,89
./out/crawler/rose/retrived_41.jpg,133,71,False,0
./out/crawler/rose/retrived_69.jpg,150,143,False,1
./out/crawler/rose/retrived_117.jpg,139,139,False,0
./out/crawler/rose/retrived_103.jpg,148,99,False,0
./out/crawler/rose/retrived_107.jpg,143,143,False,58
./out/crawler/rose/retrived_113.jpg,143,49,True,51
./out/crawler/rose/retrived_45.jpg,150,100,False,91
./out/crawler/rose/retrived_51.jpg,146,146,False,0
./out/crawler/rose/retrived_79.jpg,105,129,False,0
./out/crawler/rose/retrived_86.jpg,133,133,False,23
./out/crawler/rose/retrived_92.jpg,150,103,False,0
./out/crawler/rose/retrived_93.jpg,69,138,False,0
./out/crawler/rose/retrived_87.jpg,146,91,False,70
./out/crawler/rose/retrived_78.jpg,142,61,False,0
./out/crawler/rose/retrived_50.jpg,129,129,False,19
./out/crawler/rose/retrived_44.jpg,150,150,False,83
./out/crawler/rose/retrived_112.jpg,123,84,False,3
./out/crawler/rose/retrived_106.jpg,141,141,False,89
./out/crawler/rose/retrived_110.jpg,105,127,False,74
./out/crawler/rose/retrived_104.jpg,130,130,False,52
./out/crawler/rose/retrived_138.jpg,137,150,False,0
./out/crawler/rose/retrived_52.jpg,101,130,False,22
./out/crawler/rose/retrived_46.jpg,139,150,False,0
./out/crawler/rose/retrived_91.jpg,113,133,False,62
./out/crawler/rose/retrived_85.jpg,131,87,False,0
./out/crawler/rose/retrived_84.jpg,150,150,False,87
./out/crawler/rose/retrived_90.jpg,150,63,False,95
./out/crawler/rose/retrived_47.jpg,150,107,False,9
./out/crawler/rose/retrived_53.jpg,150,150,False,92
./out/crawler/rose/retrived_139.jpg,107,147,False,95
./out/crawler/rose/retrived_105.jpg,135,135,False,58
./out/crawler/rose/retrived_111.jpg,127,127,False,88
