width,height,is_grayscale,color_coverage
./out/kaggle/daisy/14167534527_781ceb1b7a_n.jpg,320,240,False,32
./out/kaggle/daisy/34718882165_68cdc9def9_n.jpg,240,159,False,17
./out/kaggle/daisy/5512287917_9f5d3f0f98_n.jpg,320,242,False,84
./out/kaggle/daisy/476857510_d2b30175de_n.jpg,320,240,False,52
./out/kaggle/daisy/521762040_f26f2e08dd.jpg,500,375,False,27
./out/kaggle/daisy/33837577463_1ae52a3726_n.jpg,180,240,False,16
./out/kaggle/daisy/34638378196_216d5bbc2e_n.jpg,240,159,False,53
./out/kaggle/daisy/7320089276_87b544e341.jpg,500,333,False,11
./out/kaggle/daisy/8008258043_5457dd254b_n.jpg,320,213,False,47
./out/kaggle/daisy/721595842_bacd80a6ac.jpg,500,335,False,20
./out/kaggle/daisy/8719756744_34a5a83976_n.jpg,320,240,False,11
./out/kaggle/daisy/5110107234_12ddc0206b_m.jpg,180,240,False,11
./out/kaggle/daisy/20773528301_008fcbc5a1_n.jpg,320,213,False,29
./out/kaggle/daisy/144076848_57e1d662e3_m.jpg,199,240,False,42
./out/kaggle/daisy/510844526_858b8fe4db.jpg,500,375,False,54
./out/kaggle/daisy/5632774792_0fa33d17eb_n.jpg,320,240,False,8
./out/kaggle/daisy/12891819633_e4c82b51e8.jpg,500,333,False,32
./out/kaggle/daisy/7630517248_98fb8bee1f_n.jpg,320,212,False,67
./out/kaggle/daisy/3706420943_66f3214862_n.jpg,320,240,False,38
./out/kaggle/daisy/20289938802_e16fa9f23d.jpg,500,322,False,61
./out/kaggle/daisy/11023214096_b5b39fab08.jpg,500,333,False,76
./out/kaggle/daisy/3474942718_c418dae6f1.jpg,500,333,False,25
./out/kaggle/daisy/3084924076_4d5c5711af_m.jpg,240,192,True,39
./out/kaggle/daisy/34542837641_10492bf600_n.jpg,240,180,False,29
./out/kaggle/daisy/33843400403_db00aa16b8_n.jpg,240,188,False,20
./out/kaggle/daisy/14471433500_cdaa22e3ea_m.jpg,240,240,False,61
./out/kaggle/daisy/3711723108_65247a3170.jpg,500,391,False,54
./out/kaggle/daisy/705422469_ffa28c566d.jpg,500,375,False,56
./out/kaggle/daisy/6323721068_3d3394af6d_n.jpg,320,221,False,53
./out/kaggle/daisy/10559679065_50d2b16f6d.jpg,500,281,False,31
./out/kaggle/daisy/4318007511_e9f4311936_n.jpg,320,240,False,66
./out/kaggle/daisy/520752848_4b87fb91a4.jpg,500,375,False,71
./out/kaggle/daisy/147068564_32bb4350cc.jpg,500,375,False,17
./out/kaggle/daisy/6148728633_27afc47b0c_m.jpg,176,240,False,72
./out/kaggle/daisy/5135131051_102d4878ca_n.jpg,320,199,False,29
./out/kaggle/daisy/6046940312_8faf552f3e_n.jpg,240,180,False,71
./out/kaggle/daisy/14523675369_97c31d0b5b.jpg,500,333,False,54
./out/kaggle/daisy/16056178001_bebc2153fe_n.jpg,240,240,False,94
./out/kaggle/daisy/34566613262_fefbcc279a_n.jpg,159,240,False,8
./out/kaggle/daisy/4865691548_00319261b8.jpg,448,184,False,9
./out/kaggle/daisy/34076975155_1faeedec90_n.jpg,240,159,False,35
./out/kaggle/daisy/5608389827_a42a46f760.jpg,500,316,False,60
./out/kaggle/daisy/15853110333_229c439e7f.jpg,500,333,False,17
./out/kaggle/daisy/8348621545_8f02b82662_n.jpg,320,213,False,4
./out/kaggle/daisy/5904946193_bd1eb1f39d_n.jpg,160,240,False,35
./out/kaggle/daisy/13491959645_2cd9df44d6_n.jpg,320,221,False,28
./out/kaggle/daisy/34637970155_a2b917077c_n.jpg,134,240,False,11
./out/kaggle/daisy/2621723097_736febb4a4_n.jpg,320,240,False,24
./out/kaggle/daisy/3450822975_7e77d67636_n.jpg,320,240,False,10
./out/kaggle/daisy/9489270024_1b05f08492_m.jpg,204,240,False,30
./out/kaggle/daisy/5087720485_c0914fb623.jpg,500,332,False,79
./out/kaggle/daisy/2481823240_eab0d86921.jpg,500,385,False,31
./out/kaggle/daisy/134409839_71069a95d1_m.jpg,240,222,False,42
./out/kaggle/daisy/34695914906_961f92ffcd_n.jpg,240,192,False,24
./out/kaggle/daisy/16833748795_b681b2839f_n.jpg,320,240,False,72
./out/kaggle/daisy/14350958832_29bdd3a254.jpg,500,333,False,27
./out/kaggle/daisy/174131220_c853df1287.jpg,500,333,False,13
./out/kaggle/daisy/33836936163_2dce95ee4d_n.jpg,240,149,False,7
./out/kaggle/daisy/14613443462_d4ed356201.jpg,500,290,False,20
./out/kaggle/daisy/19544831049_0d738d4872_m.jpg,240,240,False,35
./out/kaggle/daisy/14600779226_7bbc288d40_m.jpg,158,240,False,44
./out/kaggle/daisy/2520369272_1dcdb5a892_m.jpg,240,217,False,27
./out/kaggle/daisy/7416083788_fcb4c4f27e_n.jpg,320,240,False,25
./out/kaggle/daisy/5434913005_409c1e8b56_n.jpg,320,240,False,25
./out/kaggle/daisy/7633425046_8293e3d0e9_m.jpg,232,240,False,67
./out/kaggle/daisy/7199968650_72afc16d31_m.jpg,194,240,False,56
./out/kaggle/daisy/8742143296_fed9fa007c.jpg,500,322,False,47
./out/kaggle/daisy/14402451388_56545a374a_n.jpg,320,213,False,23
./out/kaggle/daisy/16360180712_b72695928c_n.jpg,320,240,False,16
./out/kaggle/daisy/1879567877_8ed2a5faa7_n.jpg,320,213,False,13
./out/kaggle/daisy/4511693548_20f9bd2b9c_m.jpg,240,240,False,30
./out/kaggle/daisy/4281102584_c548a69b81_m.jpg,240,240,False,20
./out/kaggle/daisy/1955336401_fbb206d6ef_n.jpg,320,240,False,48
./out/kaggle/daisy/33819069114_6ecc240b54_n.jpg,240,180,False,5
./out/kaggle/daisy/34729724865_787c98299d_n.jpg,240,159,False,19
./out/kaggle/daisy/34287492780_6dab677857_n.jpg,240,159,False,8
./out/kaggle/daisy/4222584034_8964cbd3de.jpg,500,331,False,32
./out/kaggle/daisy/33923454163_9cabcaa733_n.jpg,240,159,False,29
./out/kaggle/daisy/9321854387_5f77c926cb_n.jpg,320,213,False,40
./out/kaggle/daisy/4434592930_6610d51fca_m.jpg,240,240,False,20
./out/kaggle/daisy/8382667241_0f046cecdb_n.jpg,320,246,False,28
./out/kaggle/daisy/15327813273_06cdf42210.jpg,500,333,False,36
