width,height,is_grayscale,color_coverage
./out/kaggle/rose/16209331331_343c899d38.jpg,500,243,False,5
./out/kaggle/rose/5001848317_b33d17ab7a_n.jpg,159,240,False,19
./out/kaggle/rose/18302701228_2b5790b199_n.jpg,240,80,False,18
./out/kaggle/rose/5777669976_a205f61e5b.jpg,500,333,False,3
./out/kaggle/rose/4860145119_b1c3cbaa4e_n.jpg,320,240,False,1
./out/kaggle/rose/15011625580_7974c44bce.jpg,500,333,False,8
./out/kaggle/rose/17953368844_be3d18cf30_m.jpg,159,240,False,5
./out/kaggle/rose/8983268106_dc913d17d8_m.jpg,192,240,False,0
./out/kaggle/rose/5001846495_56068de2da_n.jpg,159,240,False,0
./out/kaggle/rose/8388497874_1fe750cc95_m.jpg,219,240,False,11
./out/kaggle/rose/14267691818_301aceda07.jpg,500,333,False,6
./out/kaggle/rose/4558025386_2c47314528.jpg,500,334,False,0
./out/kaggle/rose/17990320484_93bba345d2_m.jpg,240,234,False,1
./out/kaggle/rose/28131227642_e279b5768b_n.jpg,240,159,False,1
./out/kaggle/rose/4608559939_3487bf3b62_n.jpg,320,254,False,0
./out/kaggle/rose/18599603859_f2ec616ddf_n.jpg,320,213,False,40
./out/kaggle/rose/8723767157_c45bfd3ab6.jpg,500,333,False,1
./out/kaggle/rose/8523394349_61b31fdd8f_m.jpg,211,240,False,0
./out/kaggle/rose/13279526615_a3b0059bec.jpg,500,332,False,5
./out/kaggle/rose/18464052396_6327841e65_n.jpg,240,134,False,1
./out/kaggle/rose/3407482427_49d5c75291_m.jpg,240,240,False,35
./out/kaggle/rose/5335946155_be70e11cf2_n.jpg,240,159,False,0
./out/kaggle/rose/14460517566_783dbf23b8_n.jpg,240,159,False,1
./out/kaggle/rose/5001854803_cb87747d4a_n.jpg,240,159,False,3
./out/kaggle/rose/15978010566_5fa5905af1_n.jpg,240,159,False,24
./out/kaggle/rose/4684127262_6c3346188d.jpg,500,246,False,29
./out/kaggle/rose/7316409504_7cf3707f8a_m.jpg,180,240,False,8
./out/kaggle/rose/2331651885_619653a5d3.jpg,500,334,False,5
./out/kaggle/rose/3697780051_83e50a6dd1_m.jpg,240,228,False,8
./out/kaggle/rose/1461381091_aaaa663bbe_n.jpg,320,240,False,13
./out/kaggle/rose/18302793940_8fcc8b4661_n.jpg,240,120,False,33
./out/kaggle/rose/18486123042_5c8da68f38_n.jpg,240,160,True,5
./out/kaggle/rose/5223191368_01aedb6547_n.jpg,320,240,False,10
./out/kaggle/rose/2850381271_d2f9a470b1_n.jpg,240,240,False,0
./out/kaggle/rose/6936225976_a91b60d8c2_m.jpg,240,240,False,19
./out/kaggle/rose/5002462640_5bf92142bf_n.jpg,240,159,False,4
